Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Average Accuracy,Average Train Time,Average Test Time
Car,0.933333333,0.866666667,0.933333333,0.933333333,0.833333333,0.9,0.866666667,0.95,0.933333333,0.966666667,0.9,0.883333333,0.916666667,0.95,0.85,0.916666667,0.933333333,0.95,0.883333333,0.933333333,0.9,0.933333333,0.966666667,0.933333333,0.916666667,0.9,0.9,0.916666667,0.9,0.866666667,0.912222222,2.466642952,0.645847225
Chinatown,0.982507289,0.976676385,0.982507289,0.965014577,0.976676385,0.956268222,0.967930029,0.982507289,0.982507289,0.965014577,0.970845481,0.947521866,0.976676385,0.982507289,0.973760933,0.967930029,0.976676385,0.967930029,0.979591837,0.967930029,0.970845481,0.973760933,0.970845481,0.962099125,0.973760933,0.962099125,0.979591837,0.967930029,0.973760933,0.965014577,0.971622935,0.323031346,0.133566952
ChlorineConcentration,0.78984375,0.794010417,0.79765625,0.794270833,0.789322917,0.78046875,0.79609375,0.78515625,0.78359375,0.75546875,0.78828125,0.7671875,0.81015625,0.778125,0.797135417,0.77265625,0.791927083,0.798958333,0.780989583,0.790885417,0.787760417,0.77265625,0.78515625,0.790104167,0.813541667,0.75703125,0.761458333,0.761197917,0.7875,0.779947917,0.784618056,13.46577109,10.28074393
CinCECGTorso,1,0.991304348,0.997101449,0.994202899,1,0.994202899,0.923913043,1,0.992753623,1,0.988405797,0.998550725,1,1,1,1,0.981884058,1,0.977536232,1,0.996376812,1,0.999275362,0.999275362,1,0.985507246,0.994927536,0.999275362,1,0.987681159,0.993405797,2.376195701,33.21183047
Coffee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.005719884,0.183770434
Colposcopy,0.435643564,0.405940594,0.415841584,0.425742574,0.455445545,0.425742574,0.396039604,0.415841584,0.386138614,0.356435644,0.445544554,0.396039604,0.425742574,0.386138614,0.336633663,0.396039604,0.356435644,0.396039604,0.415841584,0.405940594,0.386138614,0.425742574,0.425742574,0.405940594,0.425742574,0.425742574,0.415841584,0.396039604,0.425742574,0.415841584,0.407590759,3.350068823,0.383583824
Computers,0.756,0.82,0.844,0.82,0.832,0.836,0.804,0.82,0.848,0.848,0.832,0.828,0.84,0.86,0.84,0.828,0.852,0.876,0.804,0.824,0.848,0.82,0.836,0.832,0.848,0.84,0.82,0.844,0.836,0.82,0.831866667,8.030096149,2.787334029
Covid3Month_disc,0.721311475,0.655737705,0.557377049,0.655737705,0.655737705,0.62295082,0.62295082,0.606557377,0.655737705,0.590163934,0.62295082,0.639344262,0.639344262,0.606557377,0.573770492,0.606557377,0.62295082,0.590163934,0.573770492,0.639344262,0.62295082,0.68852459,0.606557377,0.573770492,0.606557377,0.62295082,0.672131148,0.606557377,0.672131148,0.62295082,0.625136612,1.780848074,0.117256745
CricketX,0.766666667,0.817948718,0.787179487,0.792307692,0.776923077,0.78974359,0.787179487,0.78974359,0.807692308,0.797435897,0.81025641,0.825641026,0.805128205,0.787179487,0.761538462,0.797435897,0.817948718,0.784615385,0.753846154,0.820512821,0.8,0.771794872,0.782051282,0.812820513,0.8,0.807692308,0.825641026,0.78974359,0.81025641,0.776923077,0.795128205,12.62470011,1.884332887
CricketY,0.820512821,0.792307692,0.8,0.787179487,0.792307692,0.838461538,0.823076923,0.815384615,0.807692308,0.797435897,0.792307692,0.835897436,0.807692308,0.797435897,0.843589744,0.774358974,0.856410256,0.846153846,0.81025641,0.81025641,0.835897436,0.802564103,0.81025641,0.823076923,0.817948718,0.812820513,0.792307692,0.782051282,0.823076923,0.81025641,0.811965812,11.7110087,1.848742938
CricketZ,0.823076923,0.792307692,0.805128205,0.830769231,0.830769231,0.817948718,0.817948718,0.823076923,0.823076923,0.812820513,0.833333333,0.841025641,0.792307692,0.841025641,0.776923077,0.784615385,0.784615385,0.817948718,0.787179487,0.817948718,0.823076923,0.779487179,0.792307692,0.8,0.815384615,0.812820513,0.835897436,0.794871795,0.787179487,0.817948718,0.81042735,11.03713233,1.766665419
Crop,0.774761905,0.769642857,0.772202381,0.77375,0.773511905,0.774761905,0.776607143,0.772261905,0.77047619,0.773511905,0.772261905,0.772380952,0.77547619,0.775714286,0.770535714,0.773035714,0.774107143,0.772797619,0.769166667,0.776666667,0.771309524,0.776130952,0.774464286,0.775119048,0.773333333,0.776547619,0.773333333,0.769404762,0.772738095,0.774345238,0.773345238,220.7569297,11.23253463
DiatomSizeReduction,0.911764706,0.967320261,0.888888889,0.89869281,0.931372549,0.970588235,0.947712418,0.931372549,0.973856209,0.950980392,0.888888889,0.947712418,0.967320261,0.924836601,0.928104575,0.885620915,0.921568627,0.95751634,0.973856209,0.895424837,0.973856209,0.983660131,0.947712418,0.95751634,0.888888889,0.983660131,0.934640523,0.970588235,0.964052288,0.967320261,0.941176471,0.865184037,1.461701544
DistalPhalanxOutlineAgeGroup,0.741007194,0.805755396,0.805755396,0.848920863,0.741007194,0.741007194,0.820143885,0.81294964,0.776978417,0.784172662,0.776978417,0.827338129,0.834532374,0.776978417,0.841726619,0.834532374,0.776978417,0.856115108,0.805755396,0.834532374,0.769784173,0.820143885,0.81294964,0.769784173,0.791366906,0.81294964,0.805755396,0.81294964,0.863309353,0.784172662,0.802877698,4.186622032,0.224505742
DistalPhalanxOutlineCorrect,0.804347826,0.815217391,0.865942029,0.81884058,0.858695652,0.862318841,0.829710145,0.826086957,0.851449275,0.873188406,0.829710145,0.851449275,0.869565217,0.884057971,0.844202899,0.844202899,0.855072464,0.807971014,0.869565217,0.833333333,0.84057971,0.865942029,0.815217391,0.865942029,0.858695652,0.822463768,0.797101449,0.836956522,0.81884058,0.836956522,0.84178744,7.442384481,0.39987975
DistalPhalanxTW,0.676258993,0.705035971,0.71942446,0.712230216,0.726618705,0.676258993,0.683453237,0.712230216,0.712230216,0.71942446,0.683453237,0.683453237,0.625899281,0.654676259,0.71942446,0.726618705,0.683453237,0.661870504,0.705035971,0.71942446,0.705035971,0.690647482,0.705035971,0.697841727,0.73381295,0.676258993,0.712230216,0.71942446,0.683453237,0.71942446,0.698321343,4.370916835,0.210563016
DodgerLoopDay_nmv,0.675324675,0.545454545,0.714285714,0.701298701,0.649350649,0.636363636,0.662337662,0.571428571,0.636363636,0.688311688,0.649350649,0.558441558,0.584415584,0.636363636,0.623376623,0.688311688,0.597402597,0.636363636,0.597402597,0.688311688,0.688311688,0.584415584,0.649350649,0.688311688,0.649350649,0.688311688,0.623376623,0.61038961,0.623376623,0.662337662,0.64025974,2.737668808,0.484533946
DodgerLoopGame_nmv,0.881889764,0.850393701,0.811023622,0.929133858,0.826771654,0.897637795,0.866141732,0.897637795,0.952755906,0.921259843,0.818897638,0.866141732,0.88976378,0.881889764,0.850393701,0.913385827,0.897637795,0.818897638,0.88976378,0.905511811,0.826771654,0.818897638,0.929133858,0.858267717,0.826771654,0.937007874,0.866141732,0.913385827,0.850393701,0.897637795,0.876377953,1.223386327,0.73133266
DodgerLoopWeekend_nmv,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.976190476,0.984126984,1,0.984126984,0.984126984,0.984126984,0.992063492,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.976190476,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984126984,0.984391534,0.979493626,0.573562185
ECG200,0.93,0.84,0.9,0.88,0.91,0.92,0.89,0.88,0.91,0.86,0.88,0.87,0.87,0.86,0.89,0.88,0.87,0.84,0.9,0.83,0.84,0.86,0.83,0.93,0.9,0.92,0.87,0.9,0.86,0.92,0.881333333,1.497552347,0.216593973
